,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
271,002050,三花智控,0.13,-13.33,,2.69,,9683.17,5.82,,04-30
272,603077,和邦生物,0.04,-42.86,,0.8,,3824.78,23.18,,04-30
273,600681,百川能源,,,,-1.06,,-21.69,484.71,,04-30
274,600057,象屿股份,0.07,0.0,,1.93,,7367.58,21.41,,04-30
275,600710,*ST常林,-0.1,66.67,,-3.97,,-6582.94,68.22,,04-30
276,600152,维科精华,-0.06,-35.41,,-3.08,,-1760.97,-35.43,,04-30
277,600629,华建集团,0.0,0.0,,0.07,,55.46,-29.97,,04-30
278,601058,赛轮金宇,0.06,-72.73,,0.76,,3195.14,-66.88,,04-30
279,600183,生益科技,0.08,-6.32,,2.65,,11808.56,-2.82,,04-30
280,600997,开滦股份,-0.05,-225.0,,-0.83,,-5769.77,-215.18,,04-30
281,600219,南山铝业,0.05,0.0,,0.53,,10157.78,13.91,,04-30
282,600246,万通地产,0.04,363.16,,1.51,,5358.02,364.75,,04-30
283,603288,海天味业,0.49,13.95,,9.26,,73359.57,15.66,,04-30
284,600851,海欣股份,0.01,-165.75,,0.27,,1433.35,-165.75,,04-30
285,600302,标准股份,-0.05,-16.2,,-1.61,,-1772.45,-16.18,,04-30
286,600322,天房发展,0.03,-50.0,,0.78,,3584.57,-44.42,,04-30
287,600787,中储股份,0.01,-85.78,3.29,0.36,0.08,2215.9,-71.52,,04-30
288,600354,敦煌种业,-0.11,-29.19,,-7.88,,-5116.1,-29.01,,04-30
289,002015,霞客环保,-0.06,-82.86,,,,-1475.4,-82.44,,04-30
290,600605,汇通能源,0.02,31.25,,0.64,,311.61,29.79,,04-30
291,600487,亨通光电,0.12,-40.82,,1.22,,5016.63,18.27,,04-30
292,000657,中钨高新,-0.13,-31.32,,-2.39,,-8225.98,-31.33,,04-30
293,603338,浙江鼎力,0.48,11.63,,6.16,,2316.48,11.41,,04-30
294,000046,泛海控股,0.06,243.03,,2.74,,25798.76,242.66,,04-30
295,600329,中新药业,0.16,14.29,,4.22,,11941.07,16.68,,04-30
296,300304,云意电气,0.09,-57.14,4.85,1.96,0.05,1879.25,-12.59,,04-30
297,600611,大众交通,0.08,70.83,,1.98,,12852.28,71.15,,04-30
298,000877,天山股份,-0.27,58.82,,-3.43,,-23510.16,55.43,,04-30
299,600690,青岛海尔,0.32,0.94,,4.36,,97933.22,12.9,,04-30
300,600131,岷江水电,0.05,20.51,,2.87,,2347.82,19.72,,04-30
301,600751,天海投资,0.0,-105.61,,0.02,,175.72,-118.37,,04-30
302,600769,祥龙电业,0.0,275.0,,4.53,,167.93,272.14,,04-30
303,601996,丰林集团,0.01,-66.67,,0.23,,392.67,-70.83,,04-30
304,601599,鹿港文化,0.01,,,,,560.19,-15.37,,04-30
305,600896,览海投资,0.24,-400.0,,6.75,,14036.81,-391.23,,04-30
306,600265,*ST景谷,-0.08,14.29,,-189.56,,-997.04,3.33,,04-30
307,600872,中炬高新,0.07,-32.8,,2.24,,5324.04,-32.75,,04-30
308,600284,浦东建设,0.09,15.24,,1.25,,5973.26,15.16,,04-30
309,000622,*ST恒立,-0.02,50.0,,-3.23,,-637.41,44.11,,04-30
310,600830,香溢融通,0.05,10.87,,1.24,,2326.88,10.61,,04-30
311,000957,中通客车,0.04,-94.87,,0.82,,871.85,-95.34,,04-30
312,600793,宜宾纸业,-0.03,35.43,,-6.83,,-272.13,35.64,,04-30
313,600807,天业股份,0.02,0.0,,2.03,,1203.62,64.21,,04-30
314,000599,青岛双星,0.01,-13.33,,0.34,,877.26,10.09,,04-30
315,000899,赣能股份,0.25,59.62,,7.23,,15877.06,59.65,,04-30
316,600781,辅仁药业,0.04,1.66,,2.05,,653.77,1.79,,04-30
317,000416,民生控股,0.02,-330.61,,1.37,,1203.27,-331.11,,04-30
318,600257,大湖股份,0.01,-49.02,,0.73,,556.7,-48.8,,04-30
319,000157,中联重科,-0.05,-200.0,,-0.96,,-38335.53,-196.86,,04-30
320,600425,青松建化,-0.11,21.11,,-2.86,,-14978.22,14.76,,04-30
321,600469,风神股份,0.15,-44.66,,1.93,,5447.8,-44.46,,04-30
322,601515,东风股份,0.21,-43.24,,7.19,,23195.26,12.11,,04-30
323,600817,*ST宏盛,-0.0,-583.33,,-0.43,,-46.35,-569.49,,04-30
324,002661,克明面业,0.28,-7.63,,3.09,,2332.73,-7.63,,04-30
325,600100,同方股份,0.06,-1001.43,,1.16,,15491.52,-1113.47,,04-30
326,000975,银泰资源,0.02,-42.18,,0.7,,2644.75,-42.25,,04-30
327,600559,老白干酒,0.16,45.45,,3.21,,2176.86,39.59,,04-30
328,600242,中昌数据,-0.02,-81.82,,,,-599.08,-80.1,,04-30
329,603123,翠微股份,0.09,-21.67,,1.76,,4934.83,34.89,,04-30
330,600586,金晶科技,-0.03,-250.0,,-1.21,,-4725.52,-255.03,,04-30
331,600426,华鲁恒升,0.26,25.37,,3.64,,24536.37,25.6,,04-30
332,601888,中国国旅,0.66,21.3,11.0,6.2,,64599.54,21.3,,04-30
333,000952,广济药业,-0.03,4.0,,-0.92,,-659.65,4.68,,04-30
334,000616,海航投资,0.01,0.0,,0.22,,913.61,-46.52,,04-30
335,600675,*ST中企,-0.1,-152.6,,-3.75,,-18945.64,-163.46,,04-30
336,000798,中水渔业,0.01,-8.05,,0.52,,437.55,-7.84,,04-30
337,600386,北巴传媒,0.07,0.0,,1.76,,3023.55,1.06,,04-30
338,002491,通鼎互联,0.07,-20.78,,1.17,,2549.37,5.7,,04-30
339,601107,四川成渝,0.09,8.94,,2.41,,28678.22,8.96,,04-30
340,600170,上海建工,0.08,-33.33,,2.01,,37465.73,14.7,,04-30
341,000048,康达尔,0.02,86.59,,1.15,,597.18,85.64,,04-30
342,000004,国农科技,-0.02,-34.03,,-2.34,,-185.37,-34.07,,04-30
343,600979,广安爱众,0.03,36.27,,1.35,,1886.45,36.11,,04-30
344,600232,金鹰股份,0.01,-10.0,3.23,0.29,-0.02,339.1,-2.43,,04-30
345,600291,西水股份,0.2,-29.53,,2.23,,7632.27,-29.54,,04-30
346,600821,津劝业,0.01,0.0,,0.4,,240.38,-5.34,,04-30
347,603456,九洲药业,0.2,0.0,,2.53,,4052.18,27.71,,04-30
348,600797,浙大网新,-0.03,50.0,,-1.73,,-2632.32,51.32,,04-30
349,600345,长江通信,0.05,150.0,,0.77,,917.42,86.45,,04-30
350,000592,平潭发展,0.0,233.33,,0.07,,83.81,249.4,,04-30
351,002258,利尔化学,0.15,-11.76,,2.51,,2951.99,-13.06,,04-30
