opDate,Unnamed: 0,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye
2010-12-28,0,243390450,4193878558,166608,517405,9904452,4203783010
2010-12-29,0,227270658,4232964071,162000,451463,8743342,4241707413
2010-12-30,0,253129966,4294876127,366500,406204,8306280,4303182407
2010-12-31,0,289473287,4333096103,191700,346074,6908918,4340005021
2011-01-04,0,348626936,4324595572,466800,592051,10091766,4334687338
2011-01-05,0,437143746,4450633048,438500,499471,8765423,4459398471
2011-01-06,0,263898531,4484305751,337300,586961,11860945,4496166696
2011-01-07,0,361542657,4473830241,548409,802374,14518401,4488348642
2011-01-10,0,229109229,4504336952,324504,713867,12961195,4517298147
2011-01-11,0,223473684,4527434449,352600,691050,12261724,4539696173
2011-01-12,0,243501874,4565020636,615682,961632,17942407,4582963043
2011-01-13,0,200693900,4586248071,183537,817269,15580854,4601828925
2011-01-14,0,254641331,4633414406,510983,1093270,19693839,4653108245
2011-01-17,0,266488258,4624636209,316115,669274,13063845,4637700054
2011-01-18,0,224433705,4695907567,373363,610025,12134877,4708042444
2011-01-19,0,277147941,4739520117,381000,556182,11079645,4750599762
2011-01-20,0,220186952,4729217192,264822,403402,8958437,4738175629
2011-01-21,0,246320905,4721548839,439490,672692,12156972,4733705811
2011-01-24,0,234990695,4691649734,269171,835867,14598320,4706248054
2011-01-25,0,192489609,4735919505,307800,986767,17409683,4753329188
2011-01-26,0,201678761,4803555892,169000,897267,15608388,4819164280
2011-01-27,0,296911893,4762391442,253400,880467,16515462,4778906904
2011-01-28,0,213042065,4766934919,150950,865017,16271668,4783206587
2011-01-31,0,285724750,4798760385,138500,834517,15849586,4814609971
2011-02-01,0,285262796,4829256285,93000,743980,13831264,4843087549
2011-02-09,0,259634876,4888116336,441530,1045010,18908443,4907024779
2011-02-10,0,319780303,4971817942,488292,1178017,22436316,4994254258
2011-02-11,0,342659801,5018051001,406431,1215348,25745969,5043796970
2011-02-14,0,527957101,5043143452,650651,1146441,21019469,5064162921
2011-02-15,0,475034239,5110061400,655138,1283804,24554770,5134616170
2011-02-16,0,508991679,5260632942,472999,1338204,23870188,5284503130
2011-02-17,0,480655518,5259289143,254692,1095496,21059630,5280348773
2011-02-18,0,447588849,5353917725,298187,913682,20402284,5374320009
2011-02-21,0,494657765,5469831272,612730,1242866,26253684,5496084956
2011-02-22,0,499633658,5380701216,1050701,1562955,31483855,5412185071
2011-02-23,0,391832715,5497134482,506026,1163723,25522374,5522656856
2011-02-24,0,386225825,5575581280,597400,1428469,28389717,5603970997
2011-02-25,0,326852084,5545772056,866595,1715269,33832431,5579604487
2011-02-28,0,560826901,5636657087,1262267,2465590,49870599,5686527686
2011-03-01,0,527643532,5712842321,1213395,2481067,51013085,5763855406
2011-03-02,0,486842396,5828162119,1511162,2794260,56862881,5885025000
2011-03-03,0,436460146,5698954101,1516548,3164675,59433169,5758387270
2011-03-04,0,411149197,5830289394,1617266,3368563,62068037,5892357431
2011-03-07,0,801574514,6074952214,914209,3459022,68425912,6143378126
2011-03-08,0,597956595,6192993177,648836,3570739,68234899,6261228076
2011-03-09,0,593520437,6334605332,1225673,4260046,79015800,6413621132
2011-03-10,0,666422633,6492837050,701706,3264162,62476764,6555313814
2011-03-11,0,440305839,6553476099,640767,3002132,55301729,6608777828
2011-03-14,0,454546612,6724942314,761104,3140242,55662694,6780605008
2011-03-15,0,535470371,6742918776,1152184,3004439,57535473,6800454249
2011-03-16,0,521063432,6717346991,1101860,3534888,68822123,6786169114
2011-03-17,0,493367481,6717974713,651841,3334454,64329952,6782304665
2011-03-18,0,431925367,6848719245,712276,3134483,60079089,6908798334
2011-03-21,0,433593845,6835556964,1187014,2976344,59942044,6895499008
2011-03-22,0,488609547,7004303978,663009,2847300,58567710,7062871688
2011-03-23,0,521822799,7061033698,1020154,3100385,62393545,7123427243
2011-03-24,0,450338328,7155158036,651080,3123657,62981910,7218139946
2011-03-25,0,524082063,7154194171,994620,3270374,66344893,7220539064
2011-03-28,0,690558081,7202002895,1462500,3883974,78865549,7280868444
2011-03-29,0,672239486,7241620274,1492811,3499839,68500903,7310121177
2011-03-30,0,567233451,7346190601,1220935,3048883,61047955,7407238556
